component	drawable
:CALENDAR	calendar
ComponentInfo{com.android.calendar/com.android.calendar.homepage.AllInOneActivity}	calendar
ComponentInfo{com.google.android.calendar/com.android.calendar.AllInOneActivity}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.AllInOneActivity}	calendar
ComponentInfo{am.sunrise.android.calendar/am.sunrise.android.calendar.ui.HomeActivity}	calendar
ComponentInfo{com.android.calendar/com.meizu.flyme.calendar.AllInOneActivity}	calendar
ComponentInfo{com.oneplus.calendar/com.android.calendar.AllInOneActivity}	calendar
ComponentInfo{com.google.android.calendar/com.android.calendar.LaunchActivity}	calendar
ComponentInfo{com.google.android.calendar/com.android.calendar.HtcCalendarProvider}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.CalendarTabActivity}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.MonthActivity}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.LaunchActivity}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.AgendaActivity}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.EventInfoActivity}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.EditEventActivity}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.timeline.EventListWithStartTime}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.ChooserActivity}	calendar
ComponentInfo{com.android.calendar/com.android.calendar.LaunchTasksActivity}	calendar
ComponentInfo{com.htc.calendar/com.htc.calendar.CalendarActivityMain}	calendar
ComponentInfo{com.lenovo.android.calendar/com.lenovo.android.calendar.SplashActivity}	calendar
ComponentInfo{com.sonymobile.calendar/com.sonymobile.calendar.LaunchActivity}	calendar
ComponentInfo{cn.nubia.calendar.preset/cn.nubia.calendar.AllInOneActivity}	calendar
ComponentInfo{com.bbk.calendar/com.bbk.calendar.MainActivity}	calendar
ComponentInfo{com.lenovo.calendar/com.lenovo.calendar.splashpic.SplashActivity}	calendar
ComponentInfo{com.zui.calendar/com.zui.calendar.MainActivity}	calendar
ComponentInfo{com.samsung.android.calendar/com.samsung.android.app.calendar.activity.MainActivity}	calendar
ComponentInfo{com.coloros.calendar/com.android.calendar.AllInOneActivity}	calendar
ComponentInfo{com.android.calendar/com.simplemobiletools.calendar.pro.activities.SplashActivity.Primary}	calendar
ComponentInfo{org.lineageos.etar/com.android.calendar.AllInOneActivity}	calendar
ComponentInfo{org.calyxos.etar/com.android.calendar.AllInOneActivity}	calendar
:CONTACTS	contacts
ComponentInfo{com.android.contacts/com.android.contacts.activities.PeopleActivity}	contacts
ComponentInfo{com.google.android.contacts/com.android.contacts.activities.PeopleActivity}	contacts
ComponentInfo{com.android.contacts/com.oneplus.contacts.activities.OPPeopleActivity}	contacts
ComponentInfo{com.android.contacts/com.android.mms.ui.ConversationList}	contacts
ComponentInfo{com.android.contacts/com.android.contacts.DialtactsContactsEntryActivity}	contacts
ComponentInfo{com.android.contacts/com.prc.activities.ToDialerActivity}	contacts
ComponentInfo{com.yulong.android.contacts/com.yulong.android.contacts.ui.main.ContactMainActivity}	contacts
ComponentInfo{com.yulong.android.contacts/com.yulong.android.contacts.life.YellowPageActivity}	contacts
ComponentInfo{cn.nubia.contacts/cn.nubia.contacts.mainlist.PeopleActivity}	contacts
ComponentInfo{com.lenovo.ideafriend/com.lenovo.ideafriend.alias.MmsActivity}	contacts
ComponentInfo{com.chinamobile.contacts.im/com.chinamobile.contacts.im.LoadingPage}	contacts
ComponentInfo{com.asus.contacts/com.android.contacts.activities.PeopleActivity}	contacts
ComponentInfo{com.zui.contacts/com.android.newcontact.vl.activity.XLaunchActivity}	contacts
